id;room_code;mode;bible_study_session_id;group_number;current_card_id;current_level;used_card_ids;pass_count;status;created_at;updated_at;timer_duration;timer_started_at;timer_running;sharing_mode;shared_member_ids;current_drawer_id;current_drawer_card_id;drawer_order
39636886-a851-432f-b59a-87206ffd27a9;ZQEC;session;2275728a-e362-4476-87ed-bcaf577ea1ef;62;;L1;[];0;active;2026-01-29 03:11:29.524847+00;2026-01-29 03:11:29.524847+00;60;;false;false;[];;;[]
1a1bdb9f-d3d4-464f-9965-9d06c17d1de3;LSQW;session;2275728a-e362-4476-87ed-bcaf577ea1ef;63;;L1;[];0;active;2026-01-29 03:11:29.524847+00;2026-01-29 03:11:29.524847+00;60;;false;false;[];;;[]
6756e2aa-3cc9-4d51-a6fe-c566ea64eedf;VVQQ;session;2275728a-e362-4476-87ed-bcaf577ea1ef;64;;L1;[];0;active;2026-01-29 03:11:29.524847+00;2026-01-29 03:11:29.524847+00;60;;false;false;[];;;[]
f065ead9-8725-4006-9589-1fe1edeb55f6;ZJFL;session;2275728a-e362-4476-87ed-bcaf577ea1ef;65;;L1;[];0;active;2026-01-29 03:11:29.524847+00;2026-01-29 03:11:29.524847+00;60;;false;false;[];;;[]
fe84b93f-034b-41cd-ba86-449463712715;JMWM;session;2275728a-e362-4476-87ed-bcaf577ea1ef;66;;L1;[];0;active;2026-01-29 03:11:29.524847+00;2026-01-29 03:11:29.524847+00;60;;false;false;[];;;[]
b2e3495f-7279-4f2a-a249-f926294a72e7;CZE5;session;2275728a-e362-4476-87ed-bcaf577ea1ef;67;;L1;[];0;active;2026-01-29 03:11:29.524847+00;2026-01-29 03:11:29.524847+00;60;;false;false;[];;;[]
b86f4d78-3436-4672-a327-96a53ba7f734;KQ8L;session;2275728a-e362-4476-87ed-bcaf577ea1ef;68;;L1;[];0;active;2026-01-29 03:11:29.524847+00;2026-01-29 03:11:29.524847+00;60;;false;false;[];;;[]
e509b540-cc7e-40f2-91c9-d947ccf45b4d;4283;session;2275728a-e362-4476-87ed-bcaf577ea1ef;69;;L1;[];0;active;2026-01-29 03:11:29.524847+00;2026-01-29 03:11:29.524847+00;60;;false;false;[];;;[]
b8ea334b-546a-426f-883d-9f1b2a30c8e5;9X7V;session;2275728a-e362-4476-87ed-bcaf577ea1ef;70;;L1;[];0;active;2026-01-29 03:11:29.524847+00;2026-01-29 03:11:29.524847+00;60;;false;false;[];;;[]
91af3c94-41d5-4072-9504-0427548f09f0;4DJD;session;2275728a-e362-4476-87ed-bcaf577ea1ef;71;;L1;[];0;active;2026-01-29 03:11:29.524847+00;2026-01-29 03:11:29.524847+00;60;;false;false;[];;;[]
5a1dfc78-7811-4266-a21b-5dedccf919ff;THQS;session;2275728a-e362-4476-87ed-bcaf577ea1ef;72;;L1;[];0;active;2026-01-29 03:11:29.524847+00;2026-01-29 03:11:29.524847+00;60;;false;false;[];;;[]
